const_code,constituency,win_party,win_votes,second_party,second_votes,margin,percent
301,Gaura,SP,42773,INC,35678,7095,4.33
302,Shohratgarh,SP,50935,BSP,33423,17512,10.66
303,Kapilvastu,SP,78344,BJP,41474,36870,19.39
304,Bansi,BJP,47323,SP,44429,2894,1.72
305,Itwa,SP,46142,BSP,34408,11734,7.97
306,Domariaganj,PECP,44428,BSP,42839,1589,0.9
307,Harraiya,SP,84409,BSP,64123,20286,10.41
308,Kaptanganj,BSP,67416,SP,56346,11070,5.92
309,Rudhauli,INC,55950,BSP,50107,5843,2.88
310,Basti Sadar,BSP,53011,INC,34008,19003,10.48
311,Mahadewa,SP,83202,BSP,63943,19259,10.61
312,Menhdawal,SP,56107,PECP,40030,16077,7.75
313,Khalilabad,PECP,55841,BSP,50449,5392,2.61
314,Dhanghata,SP,66337,BSP,51388,14949,8.01
315,Pharenda,BJP,47921,INC,34586,13335,7.31
316,Nautanwa,INC,76584,SP,68747,7837,4.15
317,Siswa,SP,54591,BJP,37749,16842,7.75
318,Maharajganj,SP,84581,BSP,48426,36155,16.72
319,Paniyara,BSP,56114,BJP,52031,4083,1.93
320,Caimpiyarganj,NCP,71906,SP,62948,8958,4.56
321,Pipraich,SP,86976,BSP,51341,35635,17.82
322,Gorakhpur Urban,BJP,81148,SP,33694,47454,28.76
323,Gorakhpur Rural,BJP,58849,SP,41864,16985,9.04
324,Sahajanwa,BSP,52949,BJP,40258,12691,7.05
325,Khajani,BJP,57920,BSP,48484,9436,5.72
326,Chauri Chaura,BSP,49687,SP,29086,20601,12.14
327,Bansgaon,BSP,53690,SP,45344,8346,5.54
328,Chillupar,BSP,61639,SP,50486,11153,5.57
329,Khadda,INC,37260,SP,35115,2145,1.26
330,Padrauna,BSP,42184,INC,34022,8162,4.34
331,Tamkuhi Raj,INC,53121,BJP,47261,5860,2.98
332,Fazilnagar,BJP,49995,BSP,44501,5494,2.94
333,Kushinagar,SP,66489,BSP,42801,23688,13.23
334,Hata,SP,55591,BSP,38923,16668,9
335,Ramkola,SP,50861,BJP,32295,18566,11.02
336,Rudrapur,INC,40783,SP,33356,7427,4.8
337,Deoria,BJP,56299,BSP,33004,23295,14.02
338,Pathardeva,SP,59905,BJP,55351,4554,2.51
339,Rampur Karkhana,SP,51834,IND,44687,7147,4.02
340,Bhatpar Rani,SP,73100,SBSP,38998,34102,21.65
341,Salempur,SP,47884,BJP,31726,16158,11.4
342,Barhaj,SP,65672,BSP,53896,11776,7.61
343,Atraulia,SP,97486,BSP,53866,43620,23.4
344,Gopalpur,SP,77697,BSP,47563,30134,18.48
345,Sagri,SP,56114,BSP,46863,9251,5.93
346,Mubarakpur,BSP,50128,SP,41562,8566,5
347,Azamgarh,SP,93629,BSP,62188,31441,16.93
348,Nizamabad,SP,63894,BSP,40051,23843,15.76
349,Phoolpur Pawai,SP,47172,BSP,46307,865,0.53
350,Didarganj,SP,64361,BSP,62134,2227,1.27
351,Lalganj,SP,64746,BSP,53734,11012,6.17
352,Mehnagar,SP,60341,BSP,49979,10362,5.77
353,Madhuban,BSP,51572,SP,50216,1356,0.73
354,Ghosi,SP,73688,BSP,58144,15544,7.49
355,Muhammadabad Gohna,SP,52691,BSP,49552,3139,1.72
356,Mau,QED,70210,BSP,64306,5904,2.63
357,Belthara Road,SP,57363,BSP,47066,10297,6.02
358,Rasara,BSP,84436,SP,31611,52825,29.29
359,Sikanderpur,SP,58266,BSP,29735,28531,17.98
360,Phephana,BJP,51151,SP,43764,7387,4.35
361,Ballia Nagar,SP,58875,QED,33747,25128,14.83
362,Bansdih,SP,52085,BJP,29208,22877,11.83
363,Bairia,SP,46092,BJP,45534,558,0.39
364,Badlapur,SP,65278,BSP,49085,16193,9.19
365,Shahganj,SP,74486,BSP,64263,10223,5.23
366,Jaunpur,INC,50863,BSP,49624,1239,0.62
367,Malhani,SP,81602,IND,50100,31502,16.28
368,Mungra Badshahpur,BJP,50065,BSP,44004,6061,3.25
369,Machhlishahr,SP,82484,BSP,58059,24425,13.05
370,Mariyahu,SP,55745,BSP,43268,12477,7.52
371,Zafrabad,SP,59419,BSP,54002,5417,2.8
372,Kerakat,SP,67470,BSP,57284,10186,4.88
373,Jakhanian,SP,72561,BSP,57331,15230,7.52
374,Saidpur,SP,90624,BSP,48655,41969,22.5
375,Ghazipur,SP,49561,BSP,49320,241,0.13
376,Jangipur,SP,72208,BSP,62744,9464,5.09
377,Zahoorabad,SP,67012,BSP,56534,10478,5.16
378,Mohammadabad,QED,66922,SP,59589,7333,3.58
379,Zamania,SP,83407,BSP,53967,29440,14.65
380,Mughalsarai,BSP,59083,SP,43643,15440,8.24
381,Sakaldiha,IND,66509,SP,59661,6848,3.71
382,Saiyadraja,IND,51499,PMSP,49483,2016,1.14
383,Chakia,SP,91285,BSP,82603,8682,4.16
384,Pindra,INC,52863,BSP,43645,9218,5.11
