const_id,const_name,category,gender,party,muslim
158,Sandi,S.C.,F,SP,TRUE
161,Sandila,GEN,M,SP,TRUE
44,Sardhana,GEN,M,BJP,TRUE
182,Sareni,GEN,M,SP,TRUE
170,Sarojini Nagar,GEN,M,SP,TRUE
154,Sawaijpur,GEN,F,BSP,TRUE
391,Sevapuri,GEN,M,SP,TRUE
150,Sevata,GEN,M,SP,TRUE
155,Shahabad,GEN,M,SP,TRUE
365,Shahganj,GEN,M,SP,TRUE
135,Shahjahanpur,GEN,M,BJP,TRUE
10,Shamli,GEN,M,INC,TRUE
116,Shekhupur,GEN,M,SP,TRUE
69,Shikarpur,GEN,M,SP,TRUE
98,Shikohabad,GEN,M,SP,TRUE
386,Shivpur,GEN,M,BSP,TRUE
302,Shohratgarh,GEN,F,SP,TRUE
290,Shrawasti,GEN,M,SP,TRUE
66,Siana,GEN,M,INC,TRUE
152,Sidhauli,S.C.,M,SP,TRUE
359,Sikanderpur,GEN,M,SP,TRUE
207,Sikandra,GEN,M,BSP,TRUE
80,Sikandra Rao,GEN,M,BSP,TRUE
64,Sikandrabad,GEN,F,BJP,TRUE
251,Sirathu,GEN,M,BJP,TRUE
99,Sirsaganj,GEN,M,SP,TRUE
213,Sishamau,GEN,M,SP,TRUE
317,Siswa,GEN,M,SP,TRUE
146,Sitapur,GEN,M,SP,TRUE
43,Siwalkhas,GEN,M,SP,TRUE
255,Soraon,S.C.,M,SP,TRUE
140,Srinagar,S.C.,M,SP,TRUE
34,Suar,GEN,M,INC,TRUE
188,Sultanpur,GEN,M,SP,TRUE
331,Tamkuhi Raj,GEN,M,INC,TRUE
278,Tanda,GEN,M,SP,TRUE
299,Tarabganj,GEN,M,SP,TRUE
26,Thakurdwara,GEN,M,BJP,TRUE
9,Thana Bhawan,GEN,M,BJP,TRUE
133,Tilhar,GEN,M,BSP,TRUE
178,Tiloi,GEN,M,INC,TRUE
232,Tindwari,GEN,M,INC,TRUE
197,Tirwa,GEN,M,SP,TRUE
291,Tulsipur,GEN,M,SP,TRUE
95,Tundla,S.C.,M,BSP,TRUE
183,Unchahar,GEN,M,SP,TRUE
165,Unnao,GEN,M,SP,TRUE
293,Utraula,GEN,M,SP,TRUE
390,Varanasi Cantt.,GEN,F,BJP,TRUE
388,Varanasi North,GEN,M,BJP,TRUE
389,Varanasi South,GEN,M,BJP,TRUE
371,Zafrabad,GEN,M,SP,TRUE
377,Zahoorabad,GEN,F,SP,TRUE
269,Zaidpur,S.C.,M,SP,TRUE
379,Zamania,GEN,M,SP,TRUE
