const_id,const_name,party,gender,category,muslim,C&G,G&M,M&C
263,Allahabad South,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
264,Bara,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
265,Koraon,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
266,Kursi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
267,Ram Nagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
268,Barabanki,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
269,Zaidpur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
270,Dariyabad,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
271,Rudauli,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
272,Haidergarh,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
273,Milkipur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
274,Bikapur,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
275,Ayodhya,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
276,Goshainganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
277,Katehari,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
278,Tanda,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
279,Alapur,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
280,Jalalpur,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
281,Akbarpur,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
282,BALHA,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
283,Nanpara,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
284,Matera,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
285,Mahasi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
286,Bahraich,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
287,Payagpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
288,Kaiserganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
289,Bhinga,BSP,M,GEN,TRUE,FALSE,FALSE,FALSE
290,Shrawasti,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
291,Tulsipur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
292,Gainsari,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
293,Utraula,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
294,Balrampur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
295,Mehnaun,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
296,Gonda,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
297,Katra Bazar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
298,Colonelganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
299,Tarabganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
300,Mankapur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
301,Gaura,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
302,Shohratgarh,Apna Dal (Soneylal),M,GEN,FALSE,FALSE,FALSE,FALSE
303,Kapilvastu,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
304,Bansi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
