const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
325,Ghiror,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
326,Mainpuri,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
327,Aliganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
328,Patiali,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
329,Sakit,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
330,Soron,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
331,Kasganj,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
332,Etah,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
333,Nidhauli Kalan,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
334,Jalesar,S.C.,M,BJP,FALSE,FALSE,FALSE,FALSE
335,Firozabad,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
336,Bah,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
337,Fatehabad,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
338,Tundla,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
339,Etmadpur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
340,Dayalbagh,GEN,M,JM,FALSE,FALSE,FALSE,FALSE
341,Agra Cantonment,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
342,Agra East,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
343,Agra West,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
344,Kheragarh,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
345,Fatehpur Sikri,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
346,Goverdhan,S.C.,M,RLD,FALSE,FALSE,FALSE,FALSE
347,Mathura,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
348,Chhata,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
349,Mat,GEN,M,ABLTC,FALSE,FALSE,FALSE,FALSE
350,Gokul,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
351,Sadabad,GEN,M,RLD,FALSE,FALSE,FALSE,FALSE
352,Hathras,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
353,Sasni,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
354,Sikandra Rao,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
355,Gangiri,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
356,Atrauli,GEN,F,BJP,FALSE,FALSE,FALSE,FALSE
357,Aligarh,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
358,Koil,S.C.,M,BSP,TRUE,FALSE,FALSE,FALSE
359,Iglas,GEN,F,RLD,FALSE,FALSE,FALSE,FALSE
360,Barauli,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
361,Khair,GEN,M,RLD,FALSE,FALSE,FALSE,FALSE
362,Jewar,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
