candidate_id,state_name,constituency_number,candidate_name_eci,sitting_mla,adr_party,eci_party,education,age,assets_number,liabilities_number,assets_minus_liabilities,criminal_cases,gender
4424,Uttar Pradesh,262,SUNIL KUMAR,,Bahujan Mukti Party,Bahujan Mukti Party,Graduate,35,271421,0,271421,0,M
4425,Uttar Pradesh,262,SUNIL KUMAR GUPTA,,Bharat Kranti Rakshak Party,Bharat Kranti Rakshak Party,8th Pass,41,2960000,0,2960000,0,M
4426,Uttar Pradesh,262,UDAI BHAN SRIVASTAVA,,Rashtriya Bandhutwa Party,Rashtriya Bandhutwa Party,10th Pass,46,25380000,0,25380000,0,M
4427,Uttar Pradesh,262,UMESH CHANDRA,,Bahujan Awam Party,Bahujan Awam Party,Graduate,64,4060000,0,4060000,0,M
4428,Uttar Pradesh,262,VINDESHWARI PRASAD,,SHS,Shivsena,Graduate Professional,46,6384000,33000,6351000,0,M
4429,Uttar Pradesh,263,AMIR HBIB,,CPI,Communist Party of India,12th Pass,39,39500,0,39500,0,M
4430,Uttar Pradesh,263,AQEELUR RAHMAN,,Peace Party,Peace Party,12th Pass,58,1726631,0,1726631,1,M
4431,Uttar Pradesh,263,ARUNESH JAISWAL,,RLD,Rashtriya Lok Dal,Graduate,51,7561676,0,7561676,0,M
4432,Uttar Pradesh,263,DEVENDR KUMAR TIWARI,,IND,Independent,Post Graduate,46,450126,0,450126,0,M
4433,Uttar Pradesh,263,GAURAV PANDEY,,SHS,Shivsena,Graduate,41,16576353,900000,15676353,0,M
4434,Uttar Pradesh,263,KAMALA PRASAD,,Ambedkar Yug Party,Ambedkar Yug Party,Graduate Professional,50,290000,600000,-310000,0,M
4435,Uttar Pradesh,263,MASOOQ KHAN,,BSP,Bahujan Samaj Party,8th Pass,56,107627968,0,107627968,0,M
4436,Uttar Pradesh,263,NAND GOPAL GUPTA NANDI,,BJP,Bharatiya Janata Party,10th Pass,42,571103000,260265000,310838000,7,M
4437,Uttar Pradesh,263,PARVEZ AHMAD,,SP,Samajwadi Party,12th Pass,53,87856934,13713068,74143866,1,M
4438,Uttar Pradesh,263,RAIS AHMAD KHAN,,IND,Independent,Graduate,43,18285000,0,18285000,2,M
4439,Uttar Pradesh,263,RAMA NAND SHUKLA,,Nirbal Indian Shoshit Hamara Aam Dal,Nirbal Indian Shoshit Hamara Aam Dal,Post Graduate,47,11930263,0,11930263,0,M
4440,Uttar Pradesh,263,RAMESH CHANDRA,,Sarvodaya Bharat Party,Sarvodaya Bharat Party,Graduate Professional,64,68000,0,68000,0,M
4441,Uttar Pradesh,263,RAMESH CHANDRA BHARTIYA,,Bahujan Mukti Party,Bahujan Mukti Party,Graduate,42,1726035,0,1726035,0,M
4442,Uttar Pradesh,263,SAMAR BAHADUR SHARMA,,Pragatisheel Samaj Party,Pragatisheel Samaj Party,12th Pass,47,321890,0,321890,0,M
