const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
248,Pratapgarh,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
249,Patti,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
250,Raniganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
251,Sirathu,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
252,Manjhanpur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
253,Chail,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
254,Phaphamau,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
255,Soraon,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
256,Phulpur,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
257,Pratappur,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
258,Handia,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
259,Meja,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
260,Karachhana,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
261,Allahabad West,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
262,Allahabad North,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
263,Allahabad South,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
264,Bara,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
265,Koraon,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
266,Kursi,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
267,Ramnagar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
268,Barabanki,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
269,Zaidpur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
270,Dariyabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
271,Rudauli,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
272,Haidergarh,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
273,Milkipur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
274,Bikapur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
275,Ayodhya,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
276,Goshainganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
277,Katehari,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
278,Tanda,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
279,Alapur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
280,Jalalpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
281,Akbarpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
282,Balha,S.C.,F,BJP,FALSE,TRUE,FALSE,FALSE
283,Nanpara,GEN,F,INC,FALSE,FALSE,FALSE,FALSE
284,Matera,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
285,Mahasi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
286,Bahraich,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
287,Payagpur,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
288,Kaiserganj,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
289,Bhinga,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
290,Shrawasti,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
291,Tulsipur,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
292,Gainsari,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
293,Utraula,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
294,Balrampur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
295,Mehnaun,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
296,Gonda,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
297,Katra Bazar,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
298,Colonelganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
299,Tarabganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
300,Mankapur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
301,Gaura,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
302,Shohratgarh,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
303,Kapilvastu,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
304,Bansi,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
305,Itwa,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
306,Domariaganj,GEN,M,PECP,FALSE,FALSE,FALSE,FALSE
307,Harraiya,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
308,Kaptanganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
309,Rudhauli,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
310,Basti Sadar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
311,Mahadewa,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
312,Menhdawal,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
